SITE_ID;IGBP;LOCATION_LAT;LOCATION_LONG;LOCATION_ELEV;UTC_OFFSET
SD-Dem;SAV;13.2829;30.4783;500.0;3.0
SE-Deg;WET;64.18203;19.55654;270.0;1.0
SE-Faj;WET;56.26547;13.553514;144.0;1.0
SE-Fla;ENF;64.11278;19.456944;310.0;1.0
SE-Htm;ENF;56.09763;13.41897;115.0;1.0
SE-Kno;ENF;60.99825;16.217278;320.0;1.0
SE-Lnn;;58.34063;13.10177;71.0;
SE-Myc;WET;58.36503;12.1694;81.0;1.0
SE-Nor;ENF;60.0865;17.479504;58.0;1.0
SE-Oes;WAT;57.4301;18.98415;1.4;1.0
SE-Ros;ENF;64.16534;19.791416;160.0;1.0
SE-Sk1;ENF;60.125;17.918056;42.0;1.0
SE-Sk2;ENF;60.129665;17.840055;55.0;1.0
SE-St1;WET;68.35415;19.050333;351.0;1.0
SE-Sto;WET;68.35594;19.045208;351.893;1.0
SE-Svb;ENF;64.25611;19.7745;267.0;1.0
SE-Trb;WET;64.180916;19.837284;227.0;1.0
SJ-Adv;WET;78.186;15.923;17.0;1.0
SJ-Blv;BSV;78.92163;11.831085;20.0;1.0
SK-Ta1;ENF;49.158333;20.26111;970.0;1.0
SK-Ta2;ENF;49.12639;20.107779;1215.0;1.0
SK-Tat;ENF;49.120777;20.1635;1050.0;1.0
SN-Dhr;GRA;15.40256;-15.43214;50.0;0.0
SN-Nkr;CRO;14.49581;-16.45357;19.0;0.0
TH-Mae;DBF;18.42264;99.72025;380.0;7.0
UK-AMo;WET;55.792545;-3.2436917;268.0;0.0
UK-Ags;GRA;53.3097;-4.30044;63.0;0.0
UK-BnB;GRA;54.82326;-6.66984;47.0;0.0
UK-CCr;GRA;52.2542;-3.93357;167.0;0.0
UK-CLs;WET;58.370674;-3.9639542;207.0;
UK-Cvn;GRA;52.43339;0.162177;-0.67;0.0
UK-EBu;GRA;55.866;-3.205778;190.0;0.0
UK-ESa;CRO;55.906944;-2.858611;97.0;0.0
UK-GaB;GRA;55.10994;-6.529928;35.0;0.0
UK-Gnn;GRA;54.96185;-6.760763;132.0;0.0
UK-Gri;ENF;56.607224;-3.7980556;355.0;0.0
UK-Gwr;GRA;54.85464;-5.988278;332.0;0.0
UK-Ham;DBF;51.153534;-0.8583;80.0;0.0
UK-Har;ENF;55.212723;-2.0375278;303.0;0.0
UK-Her;CRO;51.7838;-0.47608;140.0;0.0
UK-HgF;GRA;52.552177;0.515057;2.97;0.0
UK-HpF;CRO;52.24809;-0.0498267;39.0;0.0
UK-LBT;URB;51.5215;-0.1389;21.0;0.0
UK-PL3;DBF;51.45;-1.2666667;115.0;0.0
UK-Tad;GRA;51.2071;-2.82864;3.0;0.0
VU-Coc;EBF;-15.444423;167.19131;80.0;11.0
ZA-BfK;OSH;-28.856483;24.83985;1168.0;2.0
ZA-BfS;OSH;-28.8906;24.86112;1183.0;2.0
ZA-Jks;GRA;-33.99029;18.95543;346.0;2.0
ZA-Spk;GRA;-28.70408;29.52614;1155.0;2.0
ZA-Uby;GRA;-27.3952;32.5889;60.0;2.0
