;fid;date;values;trend
18519;5.0;2016-06-11;1.7792890835776924;1.2471253312538562
18520;5.0;2016-06-12;1.8311346754170954;1.2468117985489007
18521;5.0;2016-06-13;1.8829802672564984;1.2464960974255035
18522;5.0;2016-06-14;1.6749349809012244;1.2461783218550595
18523;5.0;2016-06-15;1.4668896945459502;1.2458585653828873
18524;5.0;2016-06-16;1.2588444081906762;1.2455369209630998
18525;5.0;2016-06-17;1.0507991218354023;1.2452134808689885
18526;5.0;2016-06-18;0.842753835480128;1.244888336399805
18527;5.0;2016-06-19;0.6347085491248539;1.244561577447976
18528;5.0;2016-06-20;0.4266632627695799;1.2442332918910393
18529;5.0;2016-06-21;0.8759547435988984;1.243903564514964
18530;5.0;2016-06-22;1.3252462244282168;1.243572475242683
18531;5.0;2016-06-23;1.774537705257535;1.2432400954598735
18532;5.0;2016-06-24;1.7301154166034292;1.242906483473661
18533;5.0;2016-06-25;1.685693127949323;1.242571679791729
18534;5.0;2016-06-26;1.641270839295217;1.2422357032954168
18535;5.0;2016-06-27;1.596848550641111;1.2418985472721578
18536;5.0;2016-06-28;1.552426261987005;1.2415601748471725
18537;5.0;2016-06-29;1.5080039733328992;1.2412205139154062
18538;5.0;2016-06-30;1.463581684678793;1.2408794516352621
18539;5.0;2016-07-01;1.3734124323974053;1.2405368275711848
18540;5.0;2016-07-02;1.2832431801160178;1.2406461096191466
18541;5.0;2016-07-03;1.19307392783463;1.2407635406308013
18542;5.0;2016-07-04;1.1607461538591555;1.2408889235436256
18543;5.0;2016-07-05;1.128418379883681;1.2410220516432409
18544;5.0;2016-07-06;1.0960906059082065;1.2411627131781924
18545;5.0;2016-07-07;1.0637628319327321;1.2413106941942356
18546;5.0;2016-07-08;1.0314350579572575;1.2414657809920817
18547;5.0;2016-07-09;0.9991072839817831;1.241627763889133
18548;5.0;2016-07-10;0.9667795100063086;1.241796443360318
18549;5.0;2016-07-11;1.437068549618125;1.2419716339975788
18550;5.0;2016-07-12;1.9073575892299415;1.2421531564536497
18551;5.0;2016-07-13;2.3776466288417577;1.2423408266574028
18552;5.0;2016-07-14;2.235311312146485;1.242534450503103
18553;5.0;2016-07-15;2.0929759954512117;1.2427338212975172
18554;5.0;2016-07-16;1.950640678755939;1.242938719658698
18555;5.0;2016-07-17;1.808305362060666;1.2431489165141547
18556;5.0;2016-07-18;1.665970045365393;1.2433641765434706
18557;5.0;2016-07-19;1.5236347286701202;1.2435842594851239
18558;5.0;2016-07-20;1.3812994119748472;1.2438089199581794
18559;5.0;2016-07-21;1.2389640952795742;1.2440379070449612
18560;5.0;2016-07-22;1.0966287785843014;1.2442709634139233
18561;5.0;2016-07-23;0.9542934618890284;1.2445078254473783
18562;5.0;2016-07-24;0.9501701513358524;1.2447482276103132
18563;5.0;2016-07-25;0.9460468407826763;1.2449919073375828
18564;5.0;2016-07-26;0.9419235302295003;1.2452386090020566
18565;5.0;2016-07-27;0.9378002196763243;1.2454880865367857
18566;5.0;2016-07-28;0.9336769091231483;1.2457401056395954
18567;5.0;2016-07-29;0.9295535985699722;1.2459944444611493
18568;5.0;2016-07-30;0.9254302880167962;1.246250893861892
18569;5.0;2016-07-31;0.9529288154343765;1.2465092564489186
18570;5.0;2016-08-01;0.9804273428519568;1.246769344899755
18571;5.0;2016-08-02;1.007925870269537;1.2470309807944635
18572;5.0;2016-08-03;1.0035052092905556;1.2472939937078247
18573;5.0;2016-08-04;0.9990845483115742;1.2475582201101199
18574;5.0;2016-08-05;0.9946638873325928;1.2478235044893817
18575;5.0;2016-08-06;0.9902432263536113;1.2480897093504453
18576;5.0;2016-08-07;0.9858225653746299;1.2483567238559172
18577;5.0;2016-08-08;0.9814019043956485;1.2486244585708755
18578;5.0;2016-08-09;0.976981243416667;1.2488928358531477
18579;5.0;2016-08-10;0.996246193771561;1.2491617821597418
18580;5.0;2016-08-11;1.0155111441264548;1.2494312294783654
18581;5.0;2016-08-12;1.0347760944813489;1.2497011189253402
18582;5.0;2016-08-13;1.1616913616976567;1.2499714033674225
18583;5.0;2016-08-14;1.2886066289139646;1.2502420509245007
18584;5.0;2016-08-15;1.4155218961302722;1.2505130479739215
18585;5.0;2016-08-16;1.5424371633465803;1.2507844021220087
18586;5.0;2016-08-17;1.669352430562888;1.2510561451155324
18587;5.0;2016-08-18;1.7962676977791958;1.2513283342275798
18588;5.0;2016-08-19;1.9231829649955037;1.2516010546536283
18589;5.0;2016-08-20;1.5637453334281846;1.251874419938002
18590;5.0;2016-08-21;1.2043077018608652;1.2521485619264054
18591;5.0;2016-08-22;0.8448700702935458;1.2524236198000016
18592;5.0;2016-08-23;0.8153703152814082;1.2526997298270541
18593;5.0;2016-08-24;0.7858705602692706;1.252977016511098
18594;5.0;2016-08-25;0.7563708052571331;1.2532555875743838
18595;5.0;2016-08-26;0.7268710502449955;1.2535355441727989
18596;5.0;2016-08-27;0.6973712952328579;1.2538169917221214
18597;5.0;2016-08-28;0.6678715402207204;1.2541000393981658
18598;5.0;2016-08-29;0.6383717852085828;1.2543847963144115
18599;5.0;2016-08-30;0.6838922279253602;1.2546713685998585
18600;5.0;2016-08-31;0.7294126706421376;1.2549598598418739
18601;5.0;2016-09-01;0.7749331133589148;1.2552503718999146
18602;5.0;2016-09-02;0.8204535560756921;1.2555430043537918
18603;5.0;2016-09-03;0.8659739987924695;1.2558378526268879
18604;5.0;2016-09-04;0.9114944415092469;1.2561350056826575
18605;5.0;2016-09-05;0.9570148842260242;1.256434544337012
18606;5.0;2016-09-06;1.0025353269428015;1.2567365416432368
18607;5.0;2016-09-07;1.048055769659579;1.257041069450759
18608;5.0;2016-09-08;1.0935762123763562;1.2573482067342079
18609;5.0;2016-09-09;1.095597647726536;1.2576580441995155
18610;5.0;2016-09-10;1.0976190830767154;1.2579706730756415
18611;5.0;2016-09-11;1.0996405184268951;1.2582861730652874
18612;5.0;2016-09-12;1.0232218977383205;1.2586046102029307
18613;5.0;2016-09-13;0.9468032770497459;1.258926037626709
18614;5.0;2016-09-14;0.8703846563611712;1.2592504966285742
18615;5.0;2016-09-15;0.7939660356725966;1.2595780174681055
18616;5.0;2016-09-16;0.717547414984022;1.2599086220033535
18617;5.0;2016-09-17;0.6411287942954472;1.2602423340108053
18618;5.0;2016-09-18;0.5647101736068726;1.2605791908812418
18619;5.0;2016-09-19;0.7103571808586518;1.2609192500257578
18620;5.0;2016-09-20;0.8560041881104312;1.2612625757312748
18621;5.0;2016-09-21;1.0016511953622105;1.2616092250291238
18622;5.0;2016-09-22;1.0857469310536982;1.261959250364817
18623;5.0;2016-09-23;1.169842666745186;1.26231270636408
18624;5.0;2016-09-24;1.2539384024366738;1.262669654912606
18625;5.0;2016-09-25;1.3380341381281615;1.2630301628474025
18626;5.0;2016-09-26;1.4221298738196493;1.2633942977502777
18627;5.0;2016-09-27;1.506225609511137;1.2637621248301567
18628;5.0;2016-09-28;1.5903213452026248;1.264133706001941
18629;5.0;2016-09-29;1.6744170808941126;1.264509098120496
18630;5.0;2016-09-30;1.7585128165856;1.2648883513784088
18631;5.0;2016-10-01;1.842608552277088;1.2652715084223773
18632;5.0;2016-10-02;1.7319585273265838;1.265658606529748
18633;5.0;2016-10-03;1.6213085023760796;1.2660496844876357
18634;5.0;2016-10-04;1.5106584774255754;1.2664447879535055
18635;5.0;2016-10-05;1.4000084524750709;1.2668439631668544
18636;5.0;2016-10-06;1.2893584275245666;1.2672472503391259
18637;5.0;2016-10-07;1.1787084025740624;1.267654685296044
18638;5.0;2016-10-08;1.068058377623558;1.268066304082442
18639;5.0;2016-10-09;0.9574083526730538;1.2684821482104593
18640;5.0;2016-10-10;0.8467583277225496;1.2689022676898714
18641;5.0;2016-10-11;0.7361083027720451;1.2693267239570494
18642;5.0;2016-10-12;0.7440266996994614;1.26975559321786
18643;5.0;2016-10-13;0.7519450966268777;1.2701889711820467
18644;5.0;2016-10-14;0.7598634935542941;1.270626972672804
18645;5.0;2016-10-15;0.7677818904817104;1.2710697118806136
18646;5.0;2016-10-16;0.7757002874091268;1.2715172827545813
18647;5.0;2016-10-17;0.783618684336543;1.2719697577362123
18648;5.0;2016-10-18;0.7915370812639594;1.2724271918757388
18649;5.0;2016-10-19;0.7994554781913757;1.2728896273161034
18650;5.0;2016-10-20;0.807373875118792;1.273357095511683
18651;5.0;2016-10-21;0.8152922720462084;1.2738296183902733
18652;5.0;2016-10-22;0.8232106689736247;1.2743072078144193
18653;5.0;2016-10-23;0.831129065901041;1.2747898644084934
18654;5.0;2016-10-24;0.8390474628284573;1.275277576006098
18655;5.0;2016-10-25;0.8469658597558737;1.2757703149275617
18656;5.0;2016-10-26;0.8548842566832899;1.2762680344621966
18657;5.0;2016-10-27;0.8628026536107063;1.276770665202328
18658;5.0;2016-10-28;0.8707210505381227;1.2772781146680305
18659;5.0;2016-10-29;0.878639447465539;1.2777902700212875
18660;5.0;2016-10-30;0.8865578443929553;1.27830700912987
18661;5.0;2016-10-31;0.8944762413203716;1.278828210475184
18662;5.0;2016-11-01;0.8765216602385044;1.2793537512893622
18663;5.0;2016-11-02;0.8585670791566372;1.2798835037061937
18664;5.0;2016-11-03;0.84061249807477;1.2804173316814957
18665;5.0;2016-11-04;0.8226579169929027;1.28095508870993
18666;5.0;2016-11-05;0.8047033359110355;1.2814966175332971
18667;5.0;2016-11-06;0.7867487548291683;1.2820417575277854
18668;5.0;2016-11-07;0.7687941737473011;1.2825903529948377
18669;5.0;2016-11-08;0.8557966601351897;1.2831422592737742
18670;5.0;2016-11-09;0.9427991465230783;1.2836973400084128
18671;5.0;2016-11-10;1.029801632910967;1.2842554628303606
18672;5.0;2016-11-11;1.0497226934986457;1.2848164982593173
18673;5.0;2016-11-12;1.0696437540863242;1.2853803210466797
18674;5.0;2016-11-13;1.089564814674003;1.2859468091154012
18675;5.0;2016-11-14;1.1094858752616814;1.286515831626482
18676;5.0;2016-11-15;1.1294069358493601;1.287087238497661
18677;5.0;2016-11-16;1.1493279964370386;1.2876608636567513
18678;5.0;2016-11-17;1.1692490570247174;1.2882365300684706
18679;5.0;2016-11-18;1.164395436756313;1.2888140552380374
18680;5.0;2016-11-19;1.1595418164879083;1.2893932568273352
18681;5.0;2016-11-20;1.154688196219504;1.2899739564477173
18682;5.0;2016-11-21;1.1498345759510995;1.2905559760387326
18683;5.0;2016-11-22;1.1449809556826949;1.291139133296858
18684;5.0;2016-11-23;1.1401273354142905;1.2917232383639443
18685;5.0;2016-11-24;1.135273715145886;1.2923080945263459
18686;5.0;2016-11-25;1.1304200948774814;1.2928935001214326
18687;5.0;2016-11-26;1.125566474609077;1.2934792510012971
18688;5.0;2016-11-27;1.1207128543406724;1.2940651447195703
18689;5.0;2016-11-28;1.115859234072268;1.294650984751637
18690;5.0;2016-11-29;1.1110056138038635;1.2952365839886333
18691;5.0;2016-11-30;1.106151993535459;1.2958217677236321
18692;5.0;2016-12-01;1.1012983732670545;1.2964063759775895
18693;5.0;2016-12-02;1.09644475299865;1.2969902662420592
18694;5.0;2016-12-03;1.0915911327302454;1.2975733155145832
18695;5.0;2016-12-04;1.086737512461841;1.2981554183599646
18696;5.0;2016-12-05;1.0818838921934366;1.298736485203279
18697;5.0;2016-12-06;1.077030271925032;1.2993164439895197
18698;5.0;2016-12-07;1.0721766516566276;1.2998952397127566
18699;5.0;2016-12-08;1.0865803466851893;1.3004728319466028
18700;5.0;2016-12-09;1.100984041713751;1.3010491920471505
18701;5.0;2016-12-10;1.115387736742313;1.3016242995008525
18702;5.0;2016-12-11;1.1297914317708748;1.3021981366694573
18703;5.0;2016-12-12;1.1441951267994366;1.3027706865071027
18704;5.0;2016-12-13;1.1585988218279983;1.30334193285601
18705;5.0;2016-12-14;1.1730025168565603;1.3039118675571966
18706;5.0;2016-12-15;1.187406211885122;1.3044804970633062
18707;5.0;2016-12-16;1.2018099069136838;1.305047840740094
18708;5.0;2016-12-17;1.2162136019422456;1.3056139262953195
18709;5.0;2016-12-18;1.2306172969708076;1.3061787863370211
18710;5.0;2016-12-19;1.2450209919993693;1.3067424596575206
18711;5.0;2016-12-20;1.259424687027931;1.3073049944944983
18712;5.0;2016-12-21;1.3371363307163118;1.3078664542665377
18713;5.0;2016-12-22;1.4148479744046925;1.3084269237868553
18714;5.0;2016-12-23;1.4925596180930734;1.3089865136768666
18715;5.0;2016-12-24;1.570271261781454;1.309545358992395
18716;5.0;2016-12-25;1.6479829054698347;1.3101036169040061
18717;5.0;2016-12-26;1.7256945491582154;1.3106614650966937
18718;5.0;2016-12-27;1.8034061928465963;1.3112190971841158
18719;5.0;2016-12-28;1.881117836534977;1.3117767159363845
18720;5.0;2016-12-29;1.9588294802233577;1.312334523839835
18721;5.0;2016-12-30;2.0365411239117384;1.3128927155970036
18722;5.0;2016-12-31;2.024338227672612;1.313451476826979
18723;5.0;2017-01-01;2.0121353314334853;1.3140109835582943
18724;5.0;2017-01-02;1.999932435194359;1.3145714012815422
18725;5.0;2017-01-03;1.9877295389552325;1.3151328852018656
18726;5.0;2017-01-04;1.975526642716106;1.315695580654354
18727;5.0;2017-01-05;1.9633237464769797;1.3162596212101498
18728;5.0;2017-01-06;1.9511208502378532;1.316825126062647
18729;5.0;2017-01-07;1.9389179539987267;1.3173921976876901
18730;5.0;2017-01-08;1.9267150577596004;1.3179609214804122
18731;5.0;2017-01-09;1.9145121615204739;1.3185313666524963
18732;5.0;2017-01-10;1.9023092652813474;1.3191035893549008
18733;5.0;2017-01-11;1.890106369042221;1.319677636834046
18734;5.0;2017-01-12;1.8779034728030946;1.3202535505268875
18735;5.0;2017-01-13;1.865700576563968;1.3208313660248352
18736;5.0;2017-01-14;1.8534976803248415;1.3214111116792526
18737;5.0;2017-01-15;1.8412947840857152;1.3219928045074958
18738;5.0;2017-01-16;1.8290918878465887;1.322576447637759
18739;5.0;2017-01-17;1.8052159096624536;1.3231620291734159
18740;5.0;2017-01-18;1.7813399314783187;1.3237495243524429
18741;5.0;2017-01-19;1.7574639532941836;1.3243388982321853
18742;5.0;2017-01-20;1.7335879751100485;1.324930107641766
18743;5.0;2017-01-21;1.7097119969259134;1.325523102897236
18744;5.0;2017-01-22;1.6858360187417785;1.326117829429364
18745;5.0;2017-01-23;1.6619600405576433;1.3267142293166645
18746;5.0;2017-01-24;1.6380840623735082;1.3273122401862882
18747;5.0;2017-01-25;1.6142080841893733;1.3279117853887348
18748;5.0;2017-01-26;1.5903321060052382;1.3285127653907558
18749;5.0;2017-01-27;1.566456127821103;1.3291150516817416
18750;5.0;2017-01-28;1.5425801496369682;1.3297184853990134
18751;5.0;2017-01-29;1.518704171452833;1.3303228776305918
18752;5.0;2017-01-30;1.494828193268698;1.3309280108573336
18753;5.0;2017-01-31;1.470952215084563;1.3315336406017357
18754;5.0;2017-02-01;1.447076236900428;1.332139499255277
18755;5.0;2017-02-02;1.4232002587162929;1.3327453094391994
18756;5.0;2017-02-03;1.3993242805321577;1.333350800402116
18757;5.0;2017-02-04;1.3754483023480228;1.3339557234980008
18758;5.0;2017-02-05;1.3515723241638877;1.3345598549068354
18759;5.0;2017-02-06;1.3276963459797528;1.3351629954265314
18760;5.0;2017-02-07;1.3038203677956175;1.335764972699802
18761;5.0;2017-02-08;1.2799443896114826;1.3363656423329278
18762;5.0;2017-02-09;1.3741825003815549;1.3369648820088846
18763;5.0;2017-02-10;1.4684206111516271;1.3375625824118125
18764;5.0;2017-02-11;1.5626587219216994;1.3381586370883036
